shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
TAE:AUTO_6042087,49.33924,1.023068,25,10442
TAE:AUTO_6042087,49.33665,1.025592,26,10783
TAE:AUTO_6042087,49.33351,1.02033,27,11301
TAE:AUTO_6042087,49.33647,1.01292,28,11933
TAE:AUTO_6042087,49.318116,0.993828,29,14401
TAE:AUTO_6042087,49.311,0.99605,30,15209
TAE:AUTO_6042087,49.305194,0.992757,31,15897
TAE:AUTO_6042087,49.300926,0.992517,32,16372
TAE:AUTO_6042087,49.297704,0.993973,33,16746
TAE:AUTO_6042087,49.290864,0.999223,34,17597
TAE:AUTO_6042087,49.290436,1.000847,35,17724
TAE:AUTO_6042087,49.290022,1.003119,36,17896
TAE:AUTO_6042087,49.289313,1.005263,37,18071
TAE:AUTO_6042087,49.289494,1.007754,38,18253
TAE:AUTO_6042087,49.290194,1.013536,39,18681
TAE:AUTO_6042088,49.34809,0.99558,1,0
TAE:AUTO_6042088,49.35047,1.00057,2,448
TAE:AUTO_6042088,49.35438,1.00556,3,1015
TAE:AUTO_6042088,49.35535,1.00794,4,1218
TAE:AUTO_6042088,49.3579,1.0116,5,1607
TAE:AUTO_6042088,49.36051,1.01271,6,1908
TAE:AUTO_6042088,49.36414,1.01346,7,2316
TAE:AUTO_6042088,49.36101,1.01303,8,2665
TAE:AUTO_6042088,49.35773,1.00993,9,3094
TAE:AUTO_6042088,49.35409,1.01162,10,3517
TAE:AUTO_6042088,49.35172,1.01312,11,3802
TAE:AUTO_6042088,49.34788,1.02134,12,4536
TAE:AUTO_6042088,49.34566,1.02084,13,4786
TAE:AUTO_6042088,49.342174,1.021971,14,5182
TAE:AUTO_6042088,49.33924,1.023068,15,5518
TAE:AUTO_6042088,49.33665,1.025592,16,5860
TAE:AUTO_6042088,49.33351,1.02033,17,6378
TAE:AUTO_6042088,49.33647,1.01292,18,7009
TAE:AUTO_6042088,49.318116,0.993828,19,9477
TAE:AUTO_6042088,49.311,0.99605,20,10285
TAE:AUTO_6042088,49.305194,0.992757,21,10974
TAE:AUTO_6042088,49.300926,0.992517,22,11449
TAE:AUTO_6042088,49.297704,0.993973,23,11822
TAE:AUTO_6042088,49.290864,0.999223,24,12673
TAE:AUTO_6042088,49.290436,1.000847,25,12801
TAE:AUTO_6042088,49.290022,1.003119,26,12972
TAE:AUTO_6042088,49.289313,1.005263,27,13147
TAE:AUTO_6042088,49.289494,1.007754,28,13329
TAE:AUTO_6042088,49.290194,1.013536,29,13757
TAE:AUTO_6042089,49.3497,1.0534,1,0
TAE:AUTO_6042089,49.35058,1.08473,2,2278
